batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
36697,PSS,EE,138592,78412,36697_005_PSS_HM_EE,1898.673,,,,418.915,36697_005_PSS_HM_EE,PQC4,CBKR_POLY,Rotated,Right,CBKR-polySi,PQC_HM_POSITION 1,0.2,,,,20.0,20.011,Test_HPK_VPX36697_005_PSS_HM_EE_East_South_PQC4_CBKR-polySi_CBKRPoly_r_Run02_08_06_2021_01_46_20_PM.txt,Brown
37400,2S,EE,219441,104652,37400_006_2-S_HM_EE,,,,0.0776,17.2,37400_006_2-S_HM_EE,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.6,21.6,Demokritos_VPX37400_006_2-S_HM_E_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,EE,219901,104652,37400_006_2-S_HM_EE,,,,0.07790000000000001,17.3,37400_006_2-S_HM_EE,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.6,21.6,Demokritos_VPX37400_006_2-S_HM_E_Left_PQC4_CBKRPoly_s.xml,Demokritos
37400,2S,WW,219941,104655,37400_006_2-S_HM_WW,,,,0.0712,71.8,37400_006_2-S_HM_WW,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.7,21.7,Demokritos_VPX37400_006_2-S_HM_W_Left_PQC4_CBKRPoly_s.xml,Demokritos
37400,2S,WW,219956,104655,37400_006_2-S_HM_WW,,,,0.0711,71.6,37400_006_2-S_HM_WW,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.7,21.7,Demokritos_VPX37400_006_2-S_HM_W_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,EE,219995,105936,37400_019_2-S_HM_EE,,,,0.0798,80.3,37400_019_2-S_HM_EE,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.4,22.4,Demokritos_VPX37400_019_2-S_HM_E_Left_PQC4_CBKRPoly_s.xml,Demokritos
37400,2S,EE,220079,105936,37400_019_2-S_HM_EE,,,,0.08,80.5,37400_019_2-S_HM_EE,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.4,22.4,Demokritos_VPX37400_019_2-S_HM_E_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,WW,220022,105939,37400_019_2-S_HM_WW,,,,0.0619,62.4,37400_019_2-S_HM_WW,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.6,22.6,Demokritos_VPX37400_019_2-S_HM_W_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,WW,220061,105939,37400_019_2-S_HM_WW,,,,0.0614,61.9,37400_019_2-S_HM_WW,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.6,22.6,Demokritos_VPX37400_019_2-S_HM_W_Left_PQC4_CBKRPoly_s.xml,Demokritos
37400,2S,EE,219980,106150,37400_049_2-S_HM_EE,,,,0.0845,85.1,37400_049_2-S_HM_EE,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.8,22.8,Demokritos_VPX37400_049_2-S_HM_E_Left_PQC4_CBKRPoly_s.xml,Demokritos
37400,2S,EE,220007,106150,37400_049_2-S_HM_EE,,,,0.0846,85.1,37400_049_2-S_HM_EE,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,22.8,22.8,Demokritos_VPX37400_049_2-S_HM_E_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,WW,219944,106153,37400_049_2-S_HM_WW,,,,0.0701,70.6,37400_049_2-S_HM_WW,PQC4,CBKR_POLY,Rotated,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.4,21.4,Demokritos_VPX37400_049_2-S_HM_W_Left_PQC4_CBKRPoly_r.xml,Demokritos
37400,2S,WW,220004,106153,37400_049_2-S_HM_WW,,,,0.0706,71.1,37400_049_2-S_HM_WW,PQC4,CBKR_POLY,Standard,Left,CBKR_POLY,KEITHLEY 2410,0.2,,,,21.4,21.4,Demokritos_VPX37400_049_2-S_HM_W_Left_PQC4_CBKRPoly_s.xml,Demokritos
