Name,V_th [V]
VPX34351_001_2-S_HM_E_Left,4.03
VPX34351_001_2-S_HM_W_Left,3.79
VPX34351_002_2-S_HM_E_Left,4.06
VPX34351_002_2-S_HM_W_Left,3.84
VPX34351_003_2-S_HM_E_Left,4.05
VPX34351_003_2-S_HM_W_Left,3.78
VPX34351_004_2-S_HM_E_Left,4.04
VPX34351_004_2-S_HM_W_Left,3.72
VPX34351_005_2-S_HM_E_Left,4.0
VPX34351_005_2-S_HM_W_Left,3.7
VPX34351_007_2-S_HM_E_Left,4.08
VPX34351_007_2-S_HM_W_Left,3.79
VPX34351_008_2-S_HM_E_Left,4.05
VPX34351_008_2-S_HM_W_Left,3.77
VPX34351_010_2-S_HM_E_Left,4.03
VPX34351_010_2-S_HM_W_Left,3.74
VPX34351_020_2-S_HM_E_Left,3.91
VPX34351_020_2-S_HM_W_Left,3.74
VPX34351_021_2-S_HM_E_Left,3.87
VPX34351_021_2-S_HM_W_Left,3.66
VPX34351_022_2-S_HM_E_Left,3.88
VPX34351_022_2-S_HM_W_Left,3.67
VPX34351_024_2-S_HM_E_Left,3.92
VPX34351_024_2-S_HM_W_Left,3.75
VPX34351_027_2-S_HM_E_Left,4.23
VPX34351_027_2-S_HM_W_Left,3.73
VPX34351_035_2-S_HM_E_Left,4.24
VPX34351_035_2-S_HM_W_Left,3.73
VPX34351_037_2-S_HM_E_Left,4.15
VPX34351_037_2-S_HM_W_Left,3.79
VPX34351_038_2-S_HM_E_Left,4.13
VPX34351_038_2-S_HM_W_Left,4.03
VPX34351_040_2-S_HM_E_Left,4.14
VPX34351_040_2-S_HM_W_Left,3.78
VPX34351_044_2-S_HM_E_Left,4.14
VPX34351_044_2-S_HM_W_Left,3.76
VPX34351_047_2-S_HM_E_Left,4.05
VPX34351_047_2-S_HM_W_Left,3.7
VPX34351_048_2-S_HM_E_Left,4.06
VPX34351_048_2-S_HM_W_Left,3.74
VPX34351_049_2-S_HM_E_Left,4.17
VPX34351_049_2-S_HM_W_Left,3.75
