Name,Center,Average,Std.dev
34252-Pss,Brown,2.36,0.04
34253-Pss,Brown/Hephy,2.38,0.01
34254-PS-s,Brown,2.3,0.02
34330-2S,Perugia,2.37,0.02
34331-2S,Brown,2.37,0.02
34332-2S,Perugia,2.29,0.04
34340-Pss,Brown,2.3,0.15
34341-Pss,Brown,2.29,0.02
34342-Pss,Demokritos,2.23,0.1
34343-Pss,Brown,2.39,0.03
34346-2S,Perugia,2.37,0.05
34347-2S,Demokritos,2.33,0.03
34348-2S,Perugia,2.28,0.03
34350-2S,Demokritos,2.3,0.06
34351-2S,Demokritos,2.22,0.01
34352-2S,Perugia,2.3,0.04
34353-2S,Brown,2.3,0.03
34354-2S,Perugia,2.36,0.04
